x,V
0,41.8
200,53.9
400,69.2
600,86.8
800,107.7
1000,129.6
1200,155
1400,182.8
1600,211
1800,239
2000,266
2200,294
2400,319
2600,340
2800,358
3000,372
3200,381
3400,384
3600,383
3800,374
4000,360
4200,345
4400,323
4600,299
4800,271
5000,242
5200,211
5400,181.5
5600,152.9
5800,126.1
6000,99.2
6200,72.9
6400,49
6600,34.1
