x,V
0,41.9
200,49.3
400,56.3
600,64.1
800,71.5
1000,78.7
1200,85.5
1400,91.9
1600,98.5
1800,105.1
2000,110.9
2200,117.1
2400,122.7
2600,127.7
2800,132.2
3000,136
3200,139.5
3400,141.9
3600,144.2
3800,145.6
4000,146.2
4200,146
4400,145.4
4600,143.8
4800,141.4
5000,138.5
5200,134.4
5400,130.2
5600,126.4
5800,121.5
6000,116
6200,110.2
6400,104.3
6600,97.9
6800,91.7
7000,85.6
7200,79.3
7400,72.1
7600,63.3
7800,52.2
8000,46
8200,41.1
